Application_ID,Current City,Python (out of 3),R Programming (out of 3),Deep Learning (out of 3),PHP (out of 3),MySQL (out of 3),HTML (out of 3),CSS (out of 3),JavaScript (out of 3),,AJAX (out of 3),Bootstrap (out of 3),MongoDB (out of 3),Node.js (out of 3),ReactJS (out of 3),Degree,Stream,Current Year Of Graduation,Performance_PG,Performance_UG,Performance_12,Performance_10
ML0001,Bangalore,0,2,0,2,0,2,3,2,,0,2,0,0,0,Bachelor of Science (B.Sc),Mathematics,2017,N/A,N/A,N/A,N/A
ML0002,Bangalore,2,0,0,2,2,2,2,2,,0,0,0,0,0,Bachelor of Technology (B.Tech),Computer Science & Engineering,2019,N/A,85.50/100,92.20/92.20,96.60/96.60
ML0003,Bangalore,3,0,1,2,2,2,0,2,,0,0,0,0,0,Master of Science (M.Sc),Computer  Science,2018,7.91/10,70.00/100,64.83/64.83,77.60/77.60
ML0004,Bangalore,2,0,2,1,0,2,0,0,,0,0,0,0,0,Bachelor of Engineering (B.E),Electronics and Communication,2019,N/A,6.86/10,76.00/76.00,84.32/84.32
ML0005,Bangalore,2,0,0,2,0,2,1,1,,0,0,2,2,2,Bachelor of Technology (B.Tech),Production Engineering,2018,N/A,6.38/10,65.20/65.20,68.80/68.80
ML0006,Bangalore,2,0,0,1,0,3,2,1,,0,0,0,0,0,,Data Science Engineering,2019,N/A,70.00/100,N/A,N/A
ML0007,Bangalore,1,0,0,0,0,0,0,0,,0,0,0,0,0,,Artificial Intelligence,2020,N/A,80.00/100,85.00/85.00,80.00/80.00
ML0008,Mumbai,3,1,0,0,0,2,0,0,,0,0,0,0,0,PG Diploma in Data Science,,2019,3.61/4,2.68/4,N/A,N/A
ML0009,Bangalore,3,0,0,0,0,2,2,0,,0,0,0,0,0,Post Graduate Programme (PGP),Data Science,2020,8.00/10,7.00/10,70.00/70.00,93.00/93.00
ML0010,Bangalore,2,0,2,0,0,2,2,2,,0,0,0,0,2,Post Graduate Programme (PGP),Artificial Intelligence And Machine Learning,2020,71.00/100,60.00/100,71.00/71.00,N/A
ML0011,Bangalore,2,0,0,0,0,0,0,0,,0,0,0,0,0,Bachelor of Technology (B.Tech),Electronics and Communication,2018,N/A,64.00/100,95.00/95.00,N/A
ML0012,Jaipur,3,0,2,1,0,2,0,0,,0,0,0,0,0,Bachelor of Technology (B.Tech),Electronics and Communication,2021,N/A,7.60/10,89.60/89.60,N/A
ML0013,Hyderabad,2,2,1,1,0,2,2,1,,0,0,0,0,0,,Advanced Pg Diploma In Artificial Intelligence,2020,N/A,83.00/100,88.10/88.10,8.80/8.80
ML0014,Bangalore,2,2,0,2,1,0,0,0,,0,0,0,0,0,Bachelor of Engineering (B.E),Computer  Science,2019,N/A,6.53/10,69.50/69.50,72.60/72.60
ML0015,Bangalore,2,0,0,0,0,0,0,0,,0,0,0,0,0,Bachelor of Engineering (B.E),Computer Science & Engineering,2016,N/A,8.40/10,9.20/9.20,9.50/9.50
ML0016,Bangalore,2,0,0,0,2,2,2,1,,1,1,0,0,0,Post Graduate Programme (PGP),Data Science And Engineering,2020,N/A,8.00/10,N/A,N/A
ML0017,Kozhikode,2,0,0,2,0,2,2,0,,0,0,0,0,0,Master of Science (M.Sc),Mathematics,2019,79.00/100,81.25/100,N/A,N/A
ML0018,Chennai,1,0,0,0,0,2,2,1,,0,0,0,0,0,Bachelor of Engineering (B.E),Electronics and Communication,2019,N/A,6.60/10,84.50/84.50,97.20/97.20
ML0019,Bangalore,0,0,0,0,0,2,1,0,,0,0,0,0,0,Bachelor of Technology (B.Tech),Computer Science & Engineering,2015,N/A,6.80/10,N/A,N/A
ML0020,Chennai,2,0,0,2,2,2,2,2,,0,0,0,0,1,Post Graduate Diploma,Data Science,2019,5.60/10,65.00/100,N/A,89.00/89.00
ML0021,Thrissur,1,0,0,2,2,3,3,2,,0,2,2,2,0,Master of Computer Applications (MCA),Computer Application,2017,N/A,N/A,N/A,N/A
ML0022,Bangalore,1,1,0,0,0,0,0,0,,0,0,0,0,0,Master of Science (M.Sc),Statistics,2019,3.76/4,3.56/4,80.50/80.50,85.85/85.85
ML0023,Delhi,2,0,0,0,0,2,2,0,,0,0,0,0,0,Bachelor of Technology (B.Tech),Computer Science & Engineering,2022,N/A,7.03/10,95.60/95.60,10.00/10.00
ML0024,Bangalore,2,0,2,0,0,0,0,0,,0,0,0,0,0,Bachelor of Technology (B.Tech),Electronics and Instrumentation,2018,N/A,N/A,N/A,N/A
ML0025,Lucknow,2,0,0,0,2,0,2,2,,0,0,0,0,0,Master of Computer Applications (MCA),,2020,9.00/10,6.00/10,N/A,N/A
ML0026,Hyderabad,2,0,0,0,0,2,0,0,,0,0,0,0,0,Master of Computer Applications (MCA),Computer Application,2018,8.35/10,75.00/100,84.30/84.30,76.00/76.00
ML0027,Bangalore,2,0,0,0,0,2,2,1,,0,0,0,0,0,Bachelor of Engineering (B.E),Electronics and Communication,2016,N/A,6.80/10,N/A,N/A
ML0028,Bangalore,2,0,2,0,0,0,0,0,,0,0,0,0,0,Master of Technology (M.Tech),Digital Communication & Networking,2012,76.70/100,68.00/100,72.00/72.00,N/A
ML0029,Bangalore,2,1,0,2,0,2,1,2,,0,0,0,0,0,Bachelor of Technology (B.Tech),Computer Science & Engineering,2016,N/A,53.00/100,N/A,N/A
ML0030,Chennai,2,2,2,2,0,2,2,0,,0,0,0,0,0,Bachelor of Technology (B.Tech),Electrical and Electronics Engineering,2019,N/A,60.04/100,N/A,N/A
ML0031,Bangalore,2,2,0,0,0,2,2,0,,0,0,0,0,0,Executive MBA,Business Analytics,2020,8.00/10,70.00/100,80.00/80.00,81.00/81.00
ML0032,Bangalore,2,0,0,1,0,1,1,1,,0,0,0,0,0,Bachelor of Engineering (B.E),Mechanical Engineering,2016,N/A,66.81/100,77.16/77.16,71.52/71.52
ML0033,Hyderabad,1,0,0,0,0,1,1,1,,0,0,0,0,0,Bachelor of Technology (B.Tech),Electronics and Communication,2016,N/A,58.00/100,N/A,N/A
ML0034,Visakhapatnam,3,2,2,0,0,2,2,0,,0,2,0,0,0,Bachelor of Technology (B.Tech),Electrical and Electronics Engineering,2018,N/A,66.14/100,82.50/82.50,8.50/8.50
ML0035,Bangalore,3,3,3,0,2,2,2,1,,0,2,0,0,0,Bachelor of Technology (B.Tech),Electronics and Communication,2019,N/A,69.00/100,82.30/82.30,93.00/93.00
